1	0		Permanent Exhibitions	<p>Take a look at our permanent exhibitions to learn about the history of Timor-Leste</p>	View Permanent Exhibitions	\N	37	7	<p>Hare ami nia espozisaun permanente atu aprende konaba istoria Timor-Leste.</p>	Haree Espozisaun Permanente	Epozisaun Permanente
2	1		Temporary Exhibitions	<p>See what we exciting exhibitions we have displayed right now in the museum</p>	View Temporary Exhibitions	\N	39	7	<p>Haree espozisaun sira furak tebes ne'ebé mak ami hatudu agora iha muzeu.</p>	Haree espozisaun Temporariu	Espozisaun Temporariu
\.


