197	Can add Tag	67	add_tag
198	Can change Tag	67	change_tag
199	Can delete Tag	67	delete_tag
200	Can add log entry	68	add_logentry
201	Can change log entry	68	change_logentry
202	Can delete log entry	68	delete_logentry
203	Can add group	69	add_group
204	Can change group	69	change_group
205	Can delete group	69	delete_group
206	Can add permission	70	add_permission
207	Can change permission	70	change_permission
208	Can delete permission	70	delete_permission
209	Can add user	71	add_user
210	Can change user	71	change_user
211	Can delete user	71	delete_user
212	Can add content type	72	add_contenttype
213	Can change content type	72	change_contenttype
214	Can delete content type	72	delete_contenttype
215	Can add session	73	add_session
216	Can change session	73	change_session
217	Can delete session	73	delete_session
68	Can add book space	26	add_bookspace
69	Can change book space	26	change_bookspace
70	Can delete book space	26	delete_bookspace
74	Can add exhibition page	28	add_exhibitionpage
75	Can change exhibition page	28	change_exhibitionpage
76	Can delete exhibition page	28	delete_exhibitionpage
71	Can add home page carousel item	27	add_homepagecarouselitem
72	Can change home page carousel item	27	change_homepagecarouselitem
73	Can delete home page carousel item	27	delete_homepagecarouselitem
11	Can add library page carousel item	7	add_librarypagecarouselitem
12	Can change library page carousel item	7	change_librarypagecarouselitem
13	Can delete library page carousel item	7	delete_librarypagecarouselitem
8	Can add about page carousel item	6	add_aboutpagecarouselitem
9	Can change about page carousel item	6	change_aboutpagecarouselitem
10	Can delete about page carousel item	6	delete_aboutpagecarouselitem
17	Can add contact us page carousel item	9	add_contactuspagecarouselitem
18	Can change contact us page carousel item	9	change_contactuspagecarouselitem
19	Can delete contact us page carousel item	9	delete_contactuspagecarouselitem
50	Can add museum page carousel item	20	add_museumpagecarouselitem
51	Can change museum page carousel item	20	change_museumpagecarouselitem
52	Can delete museum page carousel item	20	delete_museumpagecarouselitem
92	Can add exhibition page carousel item	34	add_exhibitionpagecarouselitem
93	Can change exhibition page carousel item	34	change_exhibitionpagecarouselitem
94	Can delete exhibition page carousel item	34	delete_exhibitionpagecarouselitem
14	Can add event page related link	8	add_eventpagerelatedlink
15	Can change event page related link	8	change_eventpagerelatedlink
16	Can delete event page related link	8	delete_eventpagerelatedlink
20	Can add event page speaker	10	add_eventpagespeaker
21	Can change event page speaker	10	change_eventpagespeaker
22	Can delete event page speaker	10	delete_eventpagespeaker
23	Can add form field	11	add_formfield
24	Can change form field	11	change_formfield
25	Can delete form field	11	delete_formfield
35	Can add blog index page related link	15	add_blogindexpagerelatedlink
36	Can change blog index page related link	15	change_blogindexpagerelatedlink
37	Can delete blog index page related link	15	delete_blogindexpagerelatedlink
38	Can add blog page tag	16	add_blogpagetag
39	Can change blog page tag	16	change_blogpagetag
40	Can delete blog page tag	16	delete_blogpagetag
41	Can add blog page related link	17	add_blogpagerelatedlink
42	Can change blog page related link	17	change_blogpagerelatedlink
43	Can delete blog page related link	17	delete_blogpagerelatedlink
53	Can add event index page related link	21	add_eventindexpagerelatedlink
54	Can change event index page related link	21	change_eventindexpagerelatedlink
55	Can delete event index page related link	21	delete_eventindexpagerelatedlink
77	Can add blog page carousel item	29	add_blogpagecarouselitem
78	Can change blog page carousel item	29	change_blogpagecarouselitem
79	Can delete blog page carousel item	29	delete_blogpagecarouselitem
95	Can add event page carousel item	35	add_eventpagecarouselitem
96	Can change event page carousel item	35	change_eventpagecarouselitem
97	Can delete event page carousel item	35	delete_eventpagecarouselitem
107	Can add form page	39	add_formpage
108	Can change form page	39	change_formpage
109	Can delete form page	39	delete_formpage
122	Can add blog page	43	add_blogpage
123	Can change blog page	43	change_blogpage
124	Can delete blog page	43	delete_blogpage
128	Can add event page	45	add_eventpage
129	Can change event page	45	change_eventpage
130	Can delete event page	45	delete_eventpage
143	Can add blog index page	50	add_blogindexpage
144	Can change blog index page	50	change_blogindexpage
145	Can delete blog index page	50	delete_blogindexpage
146	Can add event index page	51	add_eventindexpage
147	Can change event index page	51	change_eventindexpage
148	Can delete event index page	51	delete_eventindexpage
299	Can add collection view restriction	99	add_collectionviewrestriction
300	Can change collection view restriction	99	change_collectionviewrestriction
301	Can delete collection view restriction	99	delete_collectionviewrestriction
\.


